"This movie is really not all that bad. But then again, this movie genre is right down my alley. Sure, the sets are cheap, but they really did decent with what they had. <br /><br />If you like cheap, futuristic, post-apocalyptic B movies, then you'll love this one!! I sure did!<br /><br />",positive
"Vanilla Sky was a wonderfully thought out movie. Or rather, ""Abre Los Ojos"" was well thought out. I watched that movie late one night, excited about what was to come. I wasn't disappointed. By the end of the movie, I was awstruck. I couldn't get it off my mind. The whole idea of it just blew me away. The ending, was more of a surprise than Shyamalan could ever do. The plot line was also something that kept me interesting through and through. The cast, superb. It was an all around wonderful movie. The kind of movie you can watch again and again and always find something new. I've seen it four or five times and I'm always finding something new. It's a movie to keep you interested forever.",positive
"Joseph Brady and Clarence Doolittle are two sailors, who have a four-day shore leave in Hollywood.Joe knows everything about girls and can't wait to see Lola, while Clarence is shyer and needs some advice from his buddy on how to meet girls.They then run into a little boy, Donald Martin, who has ran away in order to join the navy.They take him home and meet his beautiful aunt Susan, who wants to be a singer.Clarence wants Susie to be his girl, but his shyness gets in the way.But he doesn't feel shy with a waitress, who comes from Brooklyn, like he does.Soon Joe notices he's in love with Susie.The boys are in a fix when they lie to Susie on meeting with a big time music producer they don't even know.As they are in a fix with their feelings.George Sidney's Anchors Aweigh (1945) is a great musical comedy.Gene Kelly is top-notch, once again, in his singing and dancing routines.Frank Sinatra is terrific as the shy guy from Brooklyn.Shy isn't the first thing that comes to mind when you think of Frank Sinatra, but he plays his part well.Kathryn Grayson is fantastic as Susan Abbott.We sadly lost this gifted actress and operatic soprano singer last month at the age of 88.The 9-year old Dean Stockwell does amazing job as the little fellow wanting to become a sailor.Jose Iturbi does great job performing himself.It's magic what he does with the piano.Edgar Kennedy plays Chief of police station.Sara Berner is the voice of Jerry Mouse.There's a lot of great stuff in this movie and some fantastic singing and dancing numbers.Just look at Kelly and Sinatra performing ""We Hate to Leave"".It's so energetic.""If You Knew Susie (Like I Know Susie)"" is quite funny.It's a nice moment when Frank sings Brahms' Lullaby to little Dean Stockwell.It's lovely to listen to Grayson singing the tango ""Jealousy"" .The most memorable sequence is the one that takes into the animated fantasy world, and there Gene sings and dances with Jerry Mouse.Also Tom Cat is seen there as the butler.They originally asked Mickey Mouse but he refused.The movie was nominated for five Oscars but Georgie Stoll got one for Original Music Score.Anchors Aweigh is some high class entertainment.",positive
"10 ITEMS OR LESS was made in two weeks on a shoestring budget by writer/director Brad Silberling, just a little film shot in Carson, CA that feels like the entire story was improvised...in the best sense of the word. Silberling had the good fortune to pair veteran actor Morgan Freeman, in between his big projects, with Spanish actress Paz Vega, and the result is a dialogue between two people from different vantages who manage to enhance the life of the other.<br /><br />Morgan Freeman plays himself - yet part of the comedy is that he is depicted as an actor who has been out of work for four years, scouting a location for a little 'filler film' to get back into the flow of things. His 'role' is to be that of a market manager and he is dropped off at seedy market in Carson where he encounters, among others, one Scarlet, the girl at the argumentative 10 Items or Less checkout line. Not only is Scarlet tired of her static job, she is also generally angry about her philandering husband (Bobby Cannavale), currently sleeping with Scarlet's lazy co-worker (Anne Dudek), and her lack of ability to get a decent job elsewhere. The two pair after a few shared problems and off they go on a 'road trip' that results in each of the characters growing from the presence and life story of the other.<br /><br />It is a simple story, simply told, but because of the tender bonding between Freeman and Paz it works very well. This is one of those little films about human relationships where being vulnerable to change and exchange is the message. It is well worth viewing, and this is a DVD that has featurettes that are touching, informative, and comic - a pleasure to view. Grady Harp",positive
"I saw this movie first on the Berlin Film Festival, and I had never seen Hong Kong cinema before. I felt like sitting in a roller coaster: the action was so quick, and there wasn't one boring moment throughout the film. It has martial arts, love, special effects and a fantastic plot. My favorite scene is when the Taoist drinks, sings and fights for himself - one of the many scenes which stress the extraordinary musical component of the movie. This film is a definite must!!",positive
"Elvira, Mistress of The Dark, is a fun, camp horror comedy, in which the fourth wall is broken a couple of times and the jokes often stay below the navel. And the breasts of Cassandra Peterson become a character of their own.<br /><br />Elvira (Cassandra Peterson) is stacked horror show hostess, who learns, that she has inherited her aunt Morgana. So she goes to a little town of Fallwell, which is ruled by the most horrendous monster ever to embrace the earth: Morality comity. Elviras boobacious appearance is, of course, too much for the prunes, but the kids of the town get a kick out of her different kind of approach on life. And of course there is even more sinister evil, her uncle Vincent (William Morgan Sheppard), who is after Elvira's mothers book of spells. See, Elvira actually is a real witch, she just doesn't know it. Yet.<br /><br />For what it is, Elvira is quite funny film, even though the script does leave a lot of room for improvement. Most laughs come from the difference between Elvira and the people of good morals, but there are a couple of good visual gags as well. Over all direction is okay, but it never rises to be anything more than that. In all, a good, intentionally campy, comedy. If you like this kind of thing, that is.",positive
"I'm a pretty old dude, old enough to remember the taste of Oreos and Coke as they were 50-55 years ago, when every taste for a kid was fresh. I wish I have somehow set some aside then is some magical suspended locker, so that I could taste those things today. This magical locker might even have adjusted the fabric of the food to account for how I've drifted, physically and otherwise, a sort of dynamic chemistry of expectations. Over the half century, they would have had to adjust quite a bit, because you see I would have known that I set them aside. Eating one now would be a celebration of self and past, and story, and sense that would almost make the intervening years an anticipated reward.<br /><br />I didn't have enough sense to do that with original Coke. And I couldn't have invented one of those magical psychic lockers  not then. But I did something almost as good. In the seventies, I really tuned into Roman Polanski. He was a strange and exotic pleasure  you know, movies smuggled out of the Soviet block. Movies so sensitive to beauty that you cry for weeks afterward. Movies that make you want to live with Polish women, one, and then deciding that they would be the last to get it.<br /><br />Here's what I did. I took what I knew would be my favorite Polanski movie and set it aside. I did not watch it. I deferred until I thought I would be big enough to deserve it. Over the years, I would test myself, my ability to surround beauty and delineate it without occupying it. There probably are few Poles who have worked at this, practicing to deserve Chopin. Working to deserve womanness when I see it. Trying to get the inners from the edges.<br /><br />Recently, I achieved something like assurance that it was time to pull this out. I already knew that I was already past the time when this would work optimally, because I had already seen and understood ""9th Gate.""<br /><br />If you do not know this, it is about a man who innocently rents a room in which the previous tenant (about whom the story is named) jumped out the window, to die later after this man (played by Polanski) visits. What happens is that time folds and he becomes this woman. We are fooled into believing that he is merely mad. But the way we follow him, he is not. He merely has flashes that the world is normal, and that the surrounding people are not part of a coven warping his reality.<br /><br />The story hardly matters. What matters is how Polanksi shapes this thing, both in the way he inhabits the eye that only makes edges and in inhabiting the body that only consists of confused flesh. The two never meet. There is a dissonance that may haunt me for the next 30 years. Its the idea about and inside and an outside with no edges at all  at all except a redhead wig.<br /><br />I know of no one else that could do this, this sketch that remains a sketch, this horror that remains natural.<br /><br />To understand the genius of this, you have to know one of the greatest films ever made; ""Rear Window."" The genius of that film is the post-noir notion that the camera shapes the world; that the viewer creates the story. What Roman does is take this movie and turn it inside out. In Rear Window, the idea was that the on-screen viewer (Jimmy Stewart) was the anchor and everything else was fiction, woven as we watched. Here, the on screen apartment dweller is the filmmaker. We know this. We know that everything we see is true because he is the narrator. We know it is true that bodies shift identity, that times shift, that causality is plastic. We know that the narrator will kill us. We know that the narrator will leave us in a perpetual horror, on that edge that he imputes but never shows us and lets us imagine. <br /><br />Ted's Evaluation -- 4 of 3: Every cineliterate person should experience this.",positive
"This movie brings back many memories of the classic cinema of old, where actors didn't have to take their clothes off to make viewers watch their film.<br /><br />Firstly I think the main plus point of this movie is the amazing chemistry between Shahid and Amrita, it is definitely the making of the film.<br /><br />I have seen lots of comments regarding the film being sickly sweet and overly slushy. In response to this, I think to a certain degree this is a correct analysis, however considering this is a Barjatya film I think that compared to MPK, HAHK, HSSH and MPKDH, it has been toned down significantly. HSSH was almost unbearable to watch in some places.<br /><br />In this film however, when the sentimental moments come along, you find yourself smiling, wishing the budding couple all the best and hoping that nothing bad happens to them.<br /><br />Another major plus point is the performances of Shahid and Amrita. Both have acted very well, especially Shahid who looks great in the film. Amrita looks simply stunning and should be taken seriously as a future major star.<br /><br />Although I really enjoyed the film as a whole, I do feel that it was too long. Some of the middle could have been trimmed off and it would maybe made even more of an impact. I also think the music, although it fits into the film when you see the situations is slightly old fashioned and the movie could have benefited if a more up-to-date soundtrack had been available. Although the picturisation of the songs Mujhe Haq Hain and Hamari Shaadi Mein are wonderful.<br /><br />All in all, I definitely recommend this film, its romantic, looks stunning and has a dramatic climax (I won't go into details, just in case you haven't seen it.<br /><br />PS. If you're prone to crying-take a tissue! (I needed several)",positive
In Micro Phonies the stooges are at there best. In this short the trio are handymen working in a recording studio. They end up getting a look at Alice Van Doren (Christine Mcintyre)singing the voice of spring. The voice is amazing. Curly in drags is heard by Mrs. Bixby (Symona Boniface). Moe calls Curly Senior Cucaracha. The three stooges end up going to party where Curly is going to dress up in drags. They play a record of the voices of spring and all is going well until Moe destroy the record on Curly's head. They end up using the lucia sexlet until the baritone recognizes them and unplugs it. Alice Van Doren catches on to the boy scream and hides behind a curtain to help them out. All is well until the baritone wonders how Curly is singing without the aid of a phonograph discovers Alice behind the curtain. The three stooges are revealed to be frauds but Alice's father discovers his daughter's talent and agrees that she should become a singer. The stooge are pelted out of the room. Excellent.,positive
,positive
